City,RequiresDeEscalation,HasUseOfForceContinuum,BansChokeholdsAndStrangleholds,RequiresWarningBeforeShooting,RestrictsShootingatMovingVehicles,RequiresExhaustAllOtherMeansBeforeShooting,DutyToIntervene,RequiresComprehensiveReporting,TotalNumOfPolicies,TotalDeathArrests,Black,White,IndianAmerican,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic
Raleigh,,1,,1,,1,1,1,5,"583,776","35,462","421,773","4,381","41,335","2,978",44313,"1,299","21,708","54,840"
Reno,,,,,,,,,0,"403,892","115,976","215,204","1,019","17,309",139,17448,828,"7,549","45,868"
Riverside,1,1,,1,,,1,,4,"225,221","5,990","140,752","2,066","13,913","1,505",15418,441,"5,914","54,640"
Rochester,,1,,,,,,,1,"303,871","19,917","103,398","1,297","21,934","1,019",22953,617,"6,736","148,953"
Sacramento,1,,,1,,1,1,1,5,"210,565","83,346","79,178",666,"6,350",77,6427,392,"6,100","34,456"
San Antonio,1,1,1,,,,1,,4,"466,488","64,967","161,062","2,586","83,841","6,392",90233,"1,253","21,111","125,276"
San Bernardino,1,1,,1,,,1,,4,"1,327,407","83,365","353,106","2,771","30,596","1,097",31693,"2,105","15,415","838,952"
San Diego,,1,,1,,1,,1,4,"209,924","29,897","39,977",867,"8,027",704,8731,361,"4,097","125,994"
San Francisco,1,1,1,1,1,1,1,1,8,"1,307,402","82,497","589,702","3,545","204,347","5,178",209525,"3,293","42,820","376,020"
San Jose,1,1,1,1,,,,1,5,"805,235","46,781","337,451","1,828","265,700","3,128",268828,"2,494","26,079","121,774"
Santa Ana,,1,,1,,,1,,3,"945,942","27,508","271,382","2,255","300,022","3,492",303514,"1,820","25,827","313,636"
Scottsdale,,1,,1,,,,,2,"324,528","3,177","29,950",507,"33,618",826,34444,375,"2,147","253,928"
Seattle,1,1,1,1,,,1,1,6,"217,385","3,484","182,011","1,462","7,128",189,7317,276,"3,610","19,225"
Spokane,,1,,1,,,1,1,4,"608,660","47,113","403,578","3,881","83,537","2,246",85783,"1,464","26,512","40,329"
St. Louis,,1,,1,1,1,,,4,"208,916","4,643","175,482","3,663","5,266","1,152",6418,281,"7,962","10,467"
St. Paul,1,1,,1,1,,1,1,6,"319,294","156,389","134,702",684,"9,233",62,9295,478,"6,616","11,130"
St. Petersburg,1,1,1,1,1,1,,,6,"285,068","43,620","159,437","2,316","42,494",120,42614,494,"9,276","27,311"
Stockton,1,,,1,,1,1,,4,"244,769","57,489","157,409",567,"7,672",106,7778,539,"4,773","16,214"
Tampa,,1,,,,,,,1,"291,707","33,507","66,836","1,237","60,323","1,622",61945,470,"10,122","117,590"
Toledo,,1,,1,,,,,2,"335,709","83,032","155,552",755,"11,362",207,11569,794,"6,535","77,472"
Tucson,1,1,1,1,1,1,1,1,8,"287,208","76,820","176,468",755,"3,204",64,3268,522,"8,144","21,231"
Tulsa,1,1,,1,,,,,3,"520,116","23,362","245,323","8,776","14,211",951,15162,792,"10,393","216,308"
Virginia Beach,1,,1,1,,,1,1,5,"391,906","61,230","227,021","19,473","8,926",278,9204,473,"19,239","55,266"
Washington DC,1,1,1,1,,1,1,1,7,"437,994","83,210","282,470","1,349","26,312",602,26914,863,"14,201","28,987"
Wichita,,1,,1,,,,1,3,"382,368","42,676","246,744","3,424","18,272",311,18583,472,"12,121","58,348"
Winston-Salem,1,1,,1,,,,1,4,"229,617","78,065","108,222",567,"4,536",138,4674,535,"3,801","33,753"
